"Number","Player","Team","GP","MIN","PTS","FGM","FGA","FG","3PM","3PA","3P","FTM","FTA","FT","ORB","DRB","REB","AST","STL","BLK","TOV","PF","Score","AVG","SearchKey"
"101","Jabari Smith Jr","HOU","7","217.9","88","30","74","0.405","12","39","0.308","16","19","0.842","16","39","55","8","3","3","7","23","137","20",
"102","Moe Wagner","ORL","8","145","88","29","58","0.5","5","20","0.25","25","31","0.806","5","35","40","5","5","3","15","21","103","13",
"103","Bobby Portis","MIL","7","183.8","87","40","84","0.476","4","18","0.222","3","4","0.75","15","49","64","7","4","6","13","12","132","19",
"104","Bradley Beal","PHX","5","177.2","86","32","63","0.508","14","32","0.438","8","11","0.727","1","18","19","21","8","4","7","12","112","22",
"105","OG Anunoby","NYK","6","214.3","86","32","67","0.478","13","29","0.448","9","12","0.75","4","20","24","14","9","3","6","13","112","19",
"106","Keldon Johnson","SAS","7","194.7","86","33","77","0.429","7","30","0.233","13","16","0.813","8","33","41","5","6","0","7","10","118","17",
"107","Garrison Mathews","ATL","7","163.2","86","27","54","0.5","24","46","0.522","8","10","0.8","1","7","8","11","6","2","5","21","95","14",
"108","Dorian Finney-Smith","BRK","8","229.7","85","31","70","0.443","16","46","0.348","7","12","0.583","16","25","41","14","12","5","12","30","116","14",
"109","Chris Paul","SAS","7","208.5","84","31","61","0.508","16","37","0.432","6","6","1","3","27","30","62","8","1","17","16","142","20",
"110","DAngelo Russell","LAL","7","218.9","84","29","76","0.382","12","39","0.308","14","15","0.933","4","13","17","43","6","1","12","17","120","17",
"111","Josh Hart","NYK","6","216.2","83","30","56","0.536","6","23","0.261","17","20","0.85","12","42","54","25","8","0","13","10","136","23",
"112","Deni Avdija","POR","8","218.4","81","25","73","0.342","5","27","0.185","26","30","0.867","11","37","48","23","10","8","18","16","116","14",
"113","Jamal Murray","DEN","5","174","81","27","73","0.37","7","23","0.304","20","22","0.909","3","19","22","22","6","0","6","8","113","23",
"114","Onyeka Okongwu","ATL","6","144.5","80","30","49","0.612","2","12","0.167","18","21","0.857","13","23","36","8","5","4","3","11","118","20",
"115","Dillon Brooks","HOU","7","233.9","80","27","72","0.375","13","38","0.342","13","14","0.929","11","17","28","5","4","2","3","26","107","15",
"116","James Huff","MEM","8","124.4","79","28","46","0.609","15","28","0.536","8","8","1","4","17","21","5","2","10","3","13","99","12",
"117","Stephen Curry","GSW","4","103.3","79","24","56","0.429","15","36","0.417","16","16","1","1","18","19","26","6","1","13","5","98","24",
"118","Andrew Wiggins","GSW","5","124.9","79","26","58","0.448","13","29","0.448","14","19","0.737","9","18","27","11","2","5","5","11","107","21",
"119","Toumani Camara","POR","8","244.7","78","29","63","0.46","13","27","0.481","7","11","0.636","19","17","36","21","14","3","7","25","121","15",
"120","Luguentz Dort","OKC","7","190.3","78","27","55","0.491","15","31","0.484","9","10","0.9","8","16","24","9","9","5","3","17","105","15",
"121","Chris Boucher","TOR","8","138.1","78","28","60","0.467","9","29","0.31","13","19","0.684","5","27","32","6","4","8","5","11","106","13",
"122","Jaylen Wells","MEM","8","207.4","78","29","77","0.377","12","36","0.333","8","12","0.667","9","21","30","15","2","2","8","17","107","13",
"123","Jonas Valanciunas","WAS","6","125.9","77","31","55","0.564","1","2","0.5","14","16","0.875","14","35","49","20","2","1","13","9","120","20",
"124","Scottie Barnes","TOR","4","134.3","77","29","63","0.46","2","11","0.182","17","23","0.739","10","21","31","24","8","2","16","12","100","25",
"125","Tari Eason","HOU","7","147.7","76","31","57","0.544","7","18","0.389","7","11","0.636","15","17","32","10","13","7","4","19","110","16",
"126","Brook Lopez","MIL","7","219.9","76","28","71","0.394","11","39","0.282","9","11","0.818","8","29","37","10","8","17","11","18","101","14",
"127","Ty Jerome","CLE","8","121.5","75","27","46","0.587","6","13","0.462","15","18","0.833","3","13","16","23","11","0","5","5","104","13",
"128","Dyson Daniels","ATL","6","178.2","75","32","61","0.525","8","23","0.348","3","8","0.375","7","17","24","15","13","4","6","18","102","17",
"129","Obi Toppin","IND","7","149.4","75","28","51","0.549","8","22","0.364","11","13","0.846","8","18","26","12","4","2","7","11","99","14",
"130","CJ McCollum","NOP","4","136.9","75","29","65","0.446","13","34","0.382","4","6","0.667","1","13","14","16","9","4","8","6","89","22",
"131","Zaccharie Risacher","ATL","8","204.7","75","28","85","0.329","8","38","0.211","11","16","0.688","9","16","25","9","7","6","11","21","87","11",
"132","Harrison Barnes","SAS","7","215.3","74","27","51","0.529","8","23","0.348","12","13","0.923","12","13","25","10","3","2","3","4","103","15",
"133","Ziaire Williams","BRK","8","155.8","74","29","55","0.527","9","23","0.391","7","9","0.778","8","17","25","10","9","3","7","22","95","12",
"134","Moses Moody","GSW","7","124.7","74","25","50","0.5","16","33","0.485","8","12","0.667","3","9","12","10","3","1","8","9","80","11",
"135","Rudy Gobert","MIN","7","229","73","28","46","0.609","0","0","0","17","23","0.739","17","53","70","13","4","8","10","21","136","19",
"136","Donte DiVincenzo","MIN","7","189.1","73","25","65","0.385","16","48","0.333","7","10","0.7","4","19","23","24","8","2","14","14","92","13",
"137","Jalen Duren","DET","8","203","72","30","35","0.857","0","0","0","12","21","0.571","29","55","84","21","3","11","16","26","145","18",
"138","Caris LeVert","CLE","6","129.9","72","27","44","0.614","11","21","0.524","7","12","0.583","2","9","11","26","6","3","5","8","99","16",
"139","Julian Champagnie","SAS","7","192.8","72","27","60","0.45","14","40","0.35","4","5","0.8","9","29","38","11","6","4","8","9","105","15",
"140","Aaron Wiggins","OKC","7","141.9","72","30","59","0.508","8","21","0.381","4","4","1","8","23","31","11","9","2","6","10","102","15",
"141","Lauri Markkanen","UTA","4","113.8","72","20","52","0.385","9","20","0.45","23","27","0.852","8","21","29","7","1","0","7","4","94","24",
"142","Clint Capela","ATL","8","177.7","71","31","45","0.689","0","0","0","9","12","0.75","11","41","52","8","4","6","8","16","115","14",
"143","Daniel Gafford","DAL","7","128.2","71","31","47","0.66","0","0","0","9","12","0.75","18","22","40","8","3","7","6","22","107","15",
"144","Derrick Jones","LAC","7","192.1","71","29","64","0.453","10","27","0.37","3","5","0.6","11","14","25","8","9","3","10","22","84","12",
"145","Walker Kessler","UTA","7","194.2","70","29","44","0.659","0","0","0","12","21","0.571","29","54","83","9","4","21","11","16","140","20",
"146","Royce ONeale","PHX","7","178.6","70","24","48","0.5","14","30","0.467","8","8","1","10","36","46","17","5","7","7","17","119","17",
"147","Ayo Dosunmu","CHI","7","195.2","70","28","65","0.431","5","30","0.167","9","10","0.9","5","33","38","30","0","4","9","15","120","17",
"148","Davion Mitchell","TOR","8","234.8","70","28","67","0.418","9","34","0.265","5","7","0.714","2","15","17","51","9","4","22","25","94","12",
"149","Amen Thompson","HOU","7","169.6","70","26","51","0.51","2","9","0.222","16","21","0.762","12","29","41","13","4","2","13","17","98","14",
"150","Cody Martin","CHA","7","163","70","25","52","0.481","10","27","0.37","10","12","0.833","8","22","30","9","6","3","6","18","97","14",
"151","Russell Westbrook","DEN","7","169.8","70","19","66","0.288","5","24","0.208","27","38","0.711","7","19","26","33","13","5","17","20","95","14",
"152","Jalen Wilson","BRK","8","181.7","69","23","50","0.46","7","27","0.259","16","19","0.842","8","21","29","18","3","0","7","17","102","13",
"153","Nicolas Claxton","BRK","7","156.8","67","30","43","0.698","0","0","0","7","20","0.35","14","37","51","16","6","8","6","24","122","17",
"154","Jose Alvarado","NOP","8","193.2","67","22","64","0.344","12","38","0.316","11","11","1","5","12","17","39","10","3","9","20","105","13",
"155","Tyus Jones","PHX","7","219.4","66","26","56","0.464","10","29","0.345","4","4","1","5","20","25","46","8","2","7","6","123","18",
"156","Trayce Jackson-Davis","GSW","7","130.6","66","30","41","0.732","0","0","0","6","9","0.667","6","28","34","18","1","4","3","9","112","16",
"157","PJ Washington","DAL","7","227.7","66","28","66","0.424","7","31","0.226","3","8","0.375","12","42","54","10","11","9","8","18","114","16",
"158","Julian Strawther","DEN","7","138.9","66","24","45","0.533","10","21","0.476","8","11","0.727","3","10","13","8","9","1","7","22","73","10",
"159","Brandin Podziemski","GSW","7","196.7","65","28","74","0.378","6","33","0.182","3","6","0.5","9","28","37","28","5","4","13","19","104","15",
"160","Jordan Clarkson","UTA","5","122.5","65","23","59","0.39","5","26","0.192","14","20","0.7","3","16","19","17","2","1","11","8","79","16",
"161","Jusuf Nurkic","PHX","7","161.9","64","20","48","0.417","4","19","0.211","20","29","0.69","8","59","67","11","4","5","26","21","90","13",
"162","Miles McBride","NYK","6","155.2","64","24","55","0.436","12","31","0.387","4","6","0.667","3","8","11","14","8","2","6","12","77","13",
"163","David Roddy","ATL","6","153.1","63","22","39","0.564","8","18","0.444","11","13","0.846","3","29","32","14","5","2","8","8","93","16",
"164","TJ McConnell","IND","7","122.5","63","31","55","0.564","0","2","0","1","2","0.5","3","14","17","28","6","1","11","3","86","12",
"165","Malaki Branham","SAS","7","104.8","63","22","45","0.489","9","19","0.474","10","11","0.909","0","12","12","5","5","2","10","4","60","9",
"166","Draymond Green","GSW","7","190.1","62","19","39","0.487","10","19","0.526","14","21","0.667","7","32","39","30","6","10","13","27","105","15",
"167","Bub Carrington","WAS","6","175.1","62","21","48","0.438","7","20","0.35","13","14","0.929","0","26","26","29","5","2","8","22","101","17",
"168","Sam Merrill","CLE","8","164","62","21","48","0.438","16","41","0.39","4","4","1","1","12","13","13","7","1","3","16","82","10",
"169","Isaiah Joe","OKC","7","138.2","62","21","49","0.429","17","40","0.425","3","5","0.6","3","13","16","9","4","0","3","10","81","12",
"170","Caleb Martin","PHI","6","207.4","61","18","55","0.327","3","16","0.188","22","32","0.688","17","27","44","17","3","3","15","19","92","15",
"171","Corey Kispert","WAS","6","181.6","61","23","61","0.377","10","39","0.256","5","6","0.833","1","18","19","10","2","1","4","10","82","14",
"172","Amir Coffey","LAC","7","152.3","60","22","36","0.611","10","17","0.588","6","9","0.667","3","13","16","5","5","0","4","12","73","10",
"173","Jaden McDaniels","MIN","7","190.2","60","25","59","0.424","6","26","0.231","4","6","0.667","8","9","17","12","4","8","8","24","73","10",
"174","Jake LaRavia","MEM","8","209.5","59","21","46","0.457","6","19","0.316","11","22","0.5","13","34","47","27","5","2","11","20","111","14",
"175","Kyle Lowry","PHI","6","138.9","59","18","31","0.581","15","25","0.6","8","11","0.727","3","11","14","20","9","2","4","12","85","14",
"176","Alex Sarr","WAS","6","150.6","59","21","58","0.362","6","29","0.207","11","14","0.786","11","31","42","10","3","17","4","16","103","17",
"177","Jalen Smith","CHI","6","83.4","59","19","39","0.487","11","22","0.5","10","15","0.667","11","20","31","3","3","2","2","14","89","15",
"178","Nickeil Alexander-Walker","MIN","7","155.9","58","19","40","0.475","13","26","0.5","7","11","0.636","4","12","16","23","4","2","8","8","81","12",
"179","Kevin Huerter","SAC","5","130.2","58","23","47","0.489","12","32","0.375","0","0","0","2","12","14","9","5","4","2","12","77","15",
"180","Taurean Prince","MIL","7","199.7","57","22","38","0.579","13","23","0.565","0","0","0","6","27","33","13","8","0","5","18","93","13",
"181","Grant Williams","CHA","7","182","57","18","42","0.429","13","31","0.419","8","10","0.8","7","18","25","19","8","2","10","24","81","12",
"182","Dereck Lively II","DAL","6","137.5","56","24","34","0.706","0","0","0","8","14","0.571","20","29","49","15","5","5","7","22","106","18",
"183","Kris Dunn","LAC","7","154.2","56","22","40","0.55","10","21","0.476","2","6","0.333","7","25","32","16","7","2","7","20","90","13",
"184","Patrick Williams","CHI","7","196","56","20","63","0.317","11","32","0.344","5","7","0.714","8","29","37","13","6","4","11","10","84","12",
"185","Gary Trent Jr","MIL","7","206.9","56","17","59","0.288","9","39","0.231","13","14","0.929","0","11","11","7","6","0","6","20","62","9",
"186","Al Horford","BOS","7","173.8","55","20","38","0.526","13","25","0.52","2","2","1","7","26","33","17","8","5","4","9","97","14",
"187","Nick Richards","CHA","5","137.2","55","21","33","0.636","0","1","0","13","22","0.591","20","30","50","9","2","12","7","14","100","20",
"188","Mike Conley","MIN","7","165.6","55","15","50","0.3","12","35","0.343","13","14","0.929","7","14","21","30","9","3","9","14","88","13",
"189","Guerschon Yabusele","PHI","6","127.8","55","19","42","0.452","11","28","0.393","6","8","0.75","10","16","26","16","7","3","11","22","75","12",
"190","Aaron Nesmith","IND","6","136.2","55","19","36","0.528","6","11","0.545","11","13","0.846","4","20","24","6","4","2","5","24","75","12",
"191","Jonathan Mogbo","TOR","8","140.6","54","18","37","0.486","1","5","0.2","17","24","0.708","20","17","37","15","9","6","8","21","90","11",
"192","Anthony Black","ORL","8","197","54","20","52","0.385","5","17","0.294","9","13","0.692","8","17","25","31","5","7","19","19","72","9",
"193","Jamal Shead","TOR","8","147.1","53","20","50","0.4","5","17","0.294","8","9","0.889","1","8","9","38","4","1","14","18","72","9",
"194","Andre Drummond","PHI","6","156.8","51","19","42","0.452","0","3","0","13","21","0.619","22","42","64","3","11","3","17","23","84","14",
"195","Cason Wallace","OKC","7","179.2","51","22","50","0.44","6","20","0.3","1","1","1","4","20","24","10","11","4","5","12","75","11",
"196","Dalton Knecht","LAL","7","110.8","51","18","38","0.474","9","24","0.375","6","6","1","1","8","9","7","2","0","4","8","59","8",
"197","Kyle Kuzma","WAS","3","92.4","51","17","52","0.327","5","18","0.278","12","16","0.75","5","16","21","11","1","1","7","3","69","23",
"198","Wendell Carter Jr","ORL","6","158.1","50","17","38","0.447","2","16","0.125","14","18","0.778","12","41","53","13","8","2","3","14","110","18",
"199","Seth Curry","CHA","6","138.3","50","18","37","0.486","11","21","0.524","3","5","0.6","9","8","17","6","4","1","3","15","67","11",
"200","Kevin Porter Jr","LAC","7","115.3","50","22","65","0.338","2","19","0.105","4","5","0.8","7","22","29","20","6","1","17","10","65","9",
"201","BJ Boston Jr","NOP","5","102.7","49","19","37","0.514","5","14","0.357","6","8","0.75","3","10","13","13","6","1","5","7","65","13",
"202","Dean Wade","CLE","7","167.2","48","17","41","0.415","11","33","0.333","3","8","0.375","4","27","31","13","9","0","2","15","88","13",
"203","Nikola Jovic","MIA","6","129.4","48","18","44","0.409","8","26","0.308","4","7","0.571","5","21","26","10","6","1","5","12","74","12",
"204","Dalano Banton","POR","6","46","48","18","24","0.75","5","9","0.556","7","12","0.583","1","3","4","8","4","2","5","4","50","8",
"205","Ben Sheppard","IND","7","126","48","18","34","0.529","12","25","0.48","0","0","0","4","11","15","7","1","2","3","13","64","9",
"206","Kentavious Caldwell-Pope","ORL","8","228.1","48","14","48","0.292","8","36","0.222","12","12","1","3","11","14","11","12","6","5","18","63","8",
"207","Ron Holland","DET","8","115.2","48","20","42","0.476","1","16","0.063","7","7","1","2","20","22","4","5","1","5","13","64","8",
"208","Eric Gordon","PHI","6","130.9","48","15","35","0.429","7","20","0.35","11","14","0.786","1","4","5","8","1","2","3","6","55","9",
"209","Jaime Jaquez Jr","MIA","5","125.4","47","17","45","0.378","6","12","0.5","7","13","0.538","12","26","38","12","4","0","9","12","79","16",
"210","Ryan Dunn","PHX","7","117.3","47","18","42","0.429","11","31","0.355","0","0","0","3","14","17","6","3","2","2","18","66","9",
"211","Yves Missi","NOP","8","177.8","46","18","40","0.45","0","0","0","10","16","0.625","22","27","49","15","4","11","5","12","100","12",
"212","Andrew Nembhard","IND","6","155.2","46","18","44","0.409","2","11","0.182","8","10","0.8","1","11","12","28","5","0","9","12","68","11",
"213","Georges Niang","CLE","8","154.3","46","17","41","0.415","11","31","0.355","1","2","0.5","5","24","29","10","4","1","7","19","71","9",
"214","Kyshawn George","WAS","6","164.5","46","17","54","0.315","8","39","0.205","4","6","0.667","4","21","25","16","6","8","6","25","75","12",
"215","Jamison Battle","TOR","7","104","45","15","34","0.441","9","25","0.36","6","8","0.75","8","13","21","5","0","2","0","13","71","10",
"216","Grayson Allen","PHX","5","94.8","45","14","35","0.4","9","24","0.375","8","8","1","3","9","12","6","5","4","3","8","57","11",
"217","Lindy Waters III","GSW","7","104.3","43","16","32","0.5","9","22","0.409","2","2","1","4","11","15","12","3","1","0","8","70","10",
"218","Simone Fontecchio","DET","8","148.9","43","12","40","0.3","8","27","0.296","11","14","0.786","7","20","27","4","1","1","5","11","64","8",
"219","Noah Clowney","BRK","7","112.7","43","14","44","0.318","7","24","0.292","8","10","0.8","8","15","23","3","2","4","3","15","63","9",
"220","Luke Kornet","BOS","8","149.1","42","14","22","0.636","0","0","0","14","15","0.933","18","18","36","12","5","8","4","14","82","10",
"221","Jared McCain","PHI","6","66.6","42","16","35","0.457","3","11","0.273","7","7","1","4","9","13","7","1","0","3","2","56","9",
"222","Peyton Watson","DEN","7","125.4","42","12","42","0.286","2","12","0.167","16","19","0.842","8","10","18","5","7","5","4","15","57","8",
"223","Stephon Castle","SAS","7","139.3","42","15","48","0.313","2","16","0.125","10","17","0.588","5","13","18","16","4","3","9","13","58","8",
"224","Naji Marshall","DAL","7","144.6","40","16","35","0.457","2","11","0.182","6","6","1","3","21","24","25","7","1","3","9","83","12",
"225","Neemias Queta","BOS","7","96.6","40","18","27","0.667","0","1","0","4","4","1","14","18","32","3","1","2","3","12","69","10",
"226","Jeremiah Robinson-Earl","NOP","8","116.3","40","15","29","0.517","7","13","0.538","3","3","1","14","10","24","7","3","0","5","8","61","8",
"227","Isaac Okoro","CLE","8","158.9","40","13","30","0.433","7","15","0.467","7","11","0.636","9","12","21","10","7","3","3","20","65","8",
"228","Brandon Clarke","MEM","8","112.3","40","17","33","0.515","0","4","0","6","9","0.667","6","15","21","6","7","1","3","11","61","8",
"229","Brice Sensabaugh","UTA","7","99.2","40","14","31","0.452","8","20","0.4","4","5","0.8","5","9","14","4","3","0","10","3","38","5",
"230","Sam Hauser","BOS","5","94.7","39","15","37","0.405","9","28","0.321","0","0","0","6","15","21","6","2","1","3","4","60","12",
"231","Rayan Rupert","POR","7","88.2","39","16","28","0.571","5","11","0.455","2","4","0.5","4","8","12","2","6","1","2","9","49","7",
"232","Cam Whitmore","HOU","6","66.7","39","16","41","0.39","1","16","0.063","6","10","0.6","4","6","10","2","0","1","3","7","45","8",
"233","Kevon Looney","GSW","7","114.5","38","14","32","0.438","0","0","0","10","16","0.625","28","29","57","13","7","4","5","21","98","14",
"234","AJ Green","MIL","6","69.6","38","12","20","0.6","12","20","0.6","2","2","1","0","8","8","4","1","0","2","1","46","8",
"235","Kris Murray","POR","8","127.1","38","13","31","0.419","6","14","0.429","6","15","0.4","9","14","23","7","4","1","6","8","56","7",
"236","Terance Mann","LAC","7","160.7","38","15","38","0.395","2","12","0.167","6","9","0.667","10","15","25","13","4","0","4","21","68","10",
"237","Jett Howard","ORL","8","88.4","38","13","36","0.361","10","29","0.345","2","2","1","1","10","11","1","1","3","2","5","46","6",
"238","Javonte Green","NOP","8","164.3","37","12","23","0.522","4","10","0.4","9","10","0.9","8","18","26","5","10","5","4","10","60","8",
"239","Keon Ellis","SAC","6","117.5","37","13","25","0.52","5","14","0.357","6","8","0.75","6","7","13","7","10","7","3","14","51","8",
"240","Josh Green","CHA","5","109.9","37","13","27","0.481","10","18","0.556","1","3","0.333","2","4","6","6","3","3","1","16","47","9",
"241","Ousmane Dieng","OKC","7","96.5","36","13","34","0.382","6","21","0.286","4","5","0.8","2","20","22","8","6","3","0","5","66","9",
"242","Keaton Wallace","ATL","6","91.9","36","13","25","0.52","6","12","0.5","4","4","1","1","10","11","8","7","3","5","6","45","8",
"243","DeAndre Hunter","ATL","2","58.9","36","10","24","0.417","4","10","0.4","12","13","0.923","2","11","13","4","2","1","0","9","53","26",
"244","Ben Simmons","BRK","6","146.4","35","16","26","0.615","0","0","0","3","4","0.75","6","30","36","37","4","4","20","24","68","11",
"245","Kyle Anderson","GSW","7","112.6","35","13","35","0.371","3","16","0.188","6","10","0.6","8","16","24","15","10","5","3","5","68","10",
"246","Jaxson Hayes","LAL","7","103.1","35","14","18","0.778","0","0","0","7","9","0.778","13","15","28","7","3","4","5","15","60","9",
"247","Isaiah Jackson","IND","5","83.9","35","14","23","0.609","0","0","0","7","14","0.5","11","17","28","5","3","8","5","14","58","12",
"248","Donovan Clingan","POR","8","105.7","34","13","23","0.565","1","2","0.5","7","10","0.7","17","26","43","0","2","14","7","22","63","8",
"249","Daniel Theis","NOP","8","130.5","34","13","29","0.448","2","10","0.2","6","8","0.75","6","28","34","13","3","7","8","12","65","8",
"250","Zach Collins","SAS","7","94.4","34","9","25","0.36","4","11","0.364","12","12","1","10","16","26","11","6","2","6","14","59","8",
"251","Gary Payton II","GSW","7","83.1","34","14","22","0.636","2","6","0.333","4","4","1","5","6","11","10","6","1","3","8","49","7",
"252","Larry Nance Jr","ATL","4","62.5","33","14","22","0.636","5","9","0.556","0","0","0","7","5","12","4","3","1","4","4","41","10",
"253","Kyle Filipowski","UTA","6","89.1","33","14","27","0.519","5","14","0.357","0","2","0","4","21","25","7","1","0","7","12","51","8",
"254","Tristan Da Silva","ORL","4","90.4","33","12","28","0.429","5","12","0.417","4","5","0.8","3","10","13","6","0","1","2","5","48","12",
"255","Spencer Dinwiddie","DAL","6","95.3","32","10","24","0.417","6","16","0.375","6","8","0.75","0","7","7","9","1","2","2","10","44","7",
"256","Cody Williams","UTA","7","163.5","32","12","43","0.279","3","23","0.13","5","8","0.625","6","16","22","10","4","1","5","8","54","8",
"257","Brandon Miller","CHA","3","63.3","32","11","32","0.344","6","18","0.333","4","5","0.8","1","6","7","8","3","2","2","6","43","14",
"258","Mason Plumlee","PHX","7","117.6","30","11","19","0.579","0","0","0","8","16","0.5","10","25","35","7","3","5","4","15","64","9",
"259","Pat Connaughton","MIL","7","118","30","11","31","0.355","6","20","0.3","2","2","1","4","19","23","13","2","1","4","11","58","8",
"260","Duncan Robinson","MIA","5","78.6","30","11","35","0.314","8","25","0.32","0","0","0","0","7","7","5","0","2","2","7","38","8",
"261","Isaiah Stewart II","DET","8","155.9","29","9","21","0.429","0","3","0","11","11","1","21","33","54","15","5","11","11","29","76","10",
"262","Thomas Bryant","MIA","6","81.8","29","10","20","0.5","4","10","0.4","5","5","1","6","17","23","4","1","4","1","7","54","9",
"263","Keon Johnson","BRK","7","77","29","11","25","0.44","4","12","0.333","3","4","0.75","2","16","18","5","3","2","3","13","46","7",
"264","Jared Butler","WAS","5","44.3","28","11","19","0.579","1","3","0.333","5","7","0.714","0","3","3","12","3","1","2","2","39","8",
"265","Cameron Payne","NYK","5","77","28","12","33","0.364","4","15","0.267","0","1","0","3","7","10","16","3","1","2","8","50","10",
"266","Trey Lyles","SAC","7","113","28","9","32","0.281","6","24","0.25","4","4","1","4","18","22","5","5","5","4","13","47","7",
"267","Ajay Mitchell","OKC","7","96.1","28","12","25","0.48","3","6","0.5","1","2","0.5","2","10","12","10","4","1","6","11","38","5",
"268","Marcus Smart","MEM","5","98.9","28","8","34","0.235","3","18","0.167","9","11","0.818","5","6","11","14","6","3","7","11","39","8",
"269","Gary Harris","ORL","7","121.6","28","10","32","0.313","8","24","0.333","0","0","0","3","8","11","3","1","4","3","3","36","5",
"270","Herb Jones","NOP","4","113.1","27","12","25","0.48","2","11","0.182","1","2","0.5","4","6","10","4","7","1","5","9","31","8",
"271","Alec Burks","MIA","4","75.3","26","8","16","0.5","8","12","0.667","2","2","1","2","4","6","5","2","1","1","1","35","9",
"272","Jabari Walker","POR","7","76.6","26","9","23","0.391","1","7","0.143","7","8","0.875","8","14","22","3","1","1","3","9","45","6",
"273","Jarace Walker","IND","7","68.7","26","9","21","0.429","4","11","0.364","4","6","0.667","4","10","14","7","6","0","7","11","33","5",
"274","Jamal Cain","NOP","5","65.7","26","9","19","0.474","4","10","0.4","4","6","0.667","4","6","10","1","1","2","4","6","29","6",
"275","Max Christie","LAL","7","108.6","25","6","21","0.286","3","13","0.231","10","11","0.909","4","10","14","7","3","2","6","13","34","5",
"276","Julian Phillips","CHI","7","98.9","25","8","25","0.32","5","17","0.294","4","5","0.8","4","6","10","4","7","0","4","8","31","4",
"277","Johnny Juzang","UTA","4","65.7","25","7","19","0.368","5","15","0.333","6","6","1","2","3","5","3","3","0","3","7","27","7",
"278","Nicolas Batum","LAC","7","134.8","23","7","24","0.292","5","18","0.278","4","6","0.667","4","16","20","18","3","6","3","14","55","8",
"279","KJ Martin","PHI","6","106.2","23","8","13","0.615","1","1","1","6","8","0.75","4","12","16","5","2","5","0","16","44","7",
"280","Jonathan Isaac","ORL","5","68.9","23","7","24","0.292","4","16","0.25","5","8","0.625","9","9","18","2","5","4","3","6","37","7",
"281","Pelle Larsson","MIA","3","45.3","22","8","11","0.727","4","7","0.571","2","3","0.667","1","2","3","4","3","0","2","3","25","8",
"282","Patty Mills","UTA","7","107","22","7","23","0.304","5","19","0.263","3","3","1","1","5","6","11","4","2","5","5","29","4",
"283","Reed Sheppard","HOU","7","64.7","22","9","23","0.391","4","11","0.364","0","0","0","1","5","6","8","1","1","4","6","28","4",
"284","Monte Morris","PHX","6","56","21","6","17","0.353","3","10","0.3","6","8","0.75","2","5","7","9","3","1","1","1","35","6",
"285","Jock Landale","HOU","4","35.8","21","8","12","0.667","2","2","1","3","4","0.75","5","4","9","3","0","0","1","2","31","8",
"286","Marvin Bagley III","WAS","5","32.5","21","8","16","0.5","0","3","0","5","7","0.714","7","9","16","1","0","1","3","1","32","6",
"287","Quentin Grimes","DAL","7","83.4","21","7","21","0.333","4","12","0.333","3","5","0.6","1","10","11","1","4","1","3","11","27","4",
"288","Moussa Diabate","CHA","7","83.5","19","8","13","0.615","0","0","0","3","8","0.375","14","17","31","3","1","2","4","9","45","6",
"289","Alex Caruso","OKC","7","137.9","19","8","29","0.276","3","18","0.167","0","1","0","4","13","17","16","12","4","6","18","40","6",
"290","Drew Eubanks","UTA","5","66.3","19","7","13","0.538","1","2","0.5","4","5","0.8","6","12","18","6","1","4","5","5","33","7",
"291","Cole Anthony","ORL","7","81.5","19","7","28","0.25","2","13","0.154","3","7","0.429","2","13","15","17","6","1","10","10","31","4",
"292","DeAnthony Melton","GSW","3","50","19","7","20","0.35","4","15","0.267","1","2","0.5","1","3","4","8","3","2","3","10","25","8",
"293","Blake Wesley","SAS","6","46.8","19","7","20","0.35","1","7","0.143","4","6","0.667","2","2","4","6","0","0","5","2","19","3",
"294","Gabe Vincent","LAL","7","124.2","19","8","27","0.296","3","16","0.188","0","0","0","2","5","7","4","5","0","4","10","22","3",
"295","Sandro Mamukelashvili","SAS","5","30.4","18","7","12","0.583","3","6","0.5","1","1","1","1","9","10","1","0","1","3","3","23","5",
"296","Vit Krejci","ATL","4","56.2","18","6","14","0.429","2","7","0.286","4","7","0.571","1","4","5","4","3","1","4","9","19","5",
"297","Jaden Hardy","DAL","6","62.4","18","6","18","0.333","4","12","0.333","2","2","1","2","4","6","4","1","1","8","8","12","2",
"298","Kai Jones","LAC","7","61.9","17","7","11","0.636","0","0","0","3","5","0.6","9","7","16","3","0","6","2","6","32","5",
"299","Tidjane Salaun","CHA","5","81.6","17","6","22","0.273","4","17","0.235","1","2","0.5","2","11","13","5","3","0","3","4","29","6",
"300","Johnny Davis","WAS","5","42.1","17","8","12","0.667","0","1","0","1","2","0.5","2","6","8","2","1","0","1","6","25","5",
"301","Patrick Baldwin Jr","WAS","4","19.6","17","7","13","0.538","3","6","0.5","0","0","0","1","3","4","1","1","1","0","2","22","6",
"302","Goga Bitadze","ORL","4","43.6","16","7","12","0.583","0","2","0","2","4","0.5","5","9","14","5","1","2","3","3","29","7",
"303","Bruno Fernando","TOR","5","41.4","16","6","13","0.462","0","0","0","4","4","1","9","8","17","3","1","3","6","11","24","5",
"304","Andre Jackson Jr","MIL","6","72.2","16","6","15","0.4","3","9","0.333","1","4","0.25","3","13","16","7","4","2","8","13","23","4",
"305","Dalen Terry","CHI","7","73.4","16","6","16","0.375","0","4","0","4","7","0.571","3","5","8","7","3","3","3","11","25","4",
