"Number","Player","Team","GP","MIN","PTS","FGM","FGA","FG","3PM","3PA","3P","FTM","FTA","FT","ORB","DRB","REB","AST","STL","BLK","TOV","PF","Score","AVG","SearchKey"
"389","Alex Reese","OKC","1","1.9","2","1","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","3","3",
"390","Wendell Moore Jr","DET","3","7.9","2","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0","2","1",
"391","Ulrich Chomche","TOR","1","4.5","2","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","3","3",
"392","Anthony Gill","WAS","4","9.4","2","1","3","0.333","0","1","0","0","0","0","0","0","0","2","1","0","1","1","2","0",
"393","AJ Johnson","MIL","3","6.4","2","1","3","0.333","0","0","0","0","0","0","0","1","1","0","0","0","0","0","3","1",
"394","Liam Robbins","MIL","1","4.7","2","1","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","2",
"395","Trey Alexander","DEN","2","5.8","2","1","3","0.333","0","1","0","0","0","0","0","1","1","0","0","0","0","0","3","2",
"396","Luka Garza","MIN","2","10","2","1","3","0.333","0","1","0","0","0","0","0","4","4","0","0","0","2","1","2","1",
"397","Kelel Ware","MIA","2","8.7","2","1","4","0.25","0","2","0","0","0","0","0","3","3","0","0","0","1","1","3","2",
"398","Mouhamed Gueye","ATL","2","11.4","2","1","4","0.25","0","2","0","0","0","0","0","2","2","0","0","0","1","0","2","1",
"399","Brandon Williams","DAL","2","6.9","2","0","4","0","0","2","0","2","3","0.667","0","1","1","1","0","0","0","1","4","2",
"400","Cui Yongxi","BRK","2","3.1","1","0","0","0","0","0","0","1","2","0.5","0","0","0","0","0","0","0","0","1","0",
"401","Jordan Miller","LAC","1","4.2","1","0","0","0","0","0","0","1","2","0.5","0","0","0","0","0","0","1","0","-1","-1",
"402","Dominick Barlow","ATL","2","10.7","1","0","1","0","0","0","0","1","2","0.5","0","0","0","0","0","0","0","1","1","0",
"403","Malevy Leons","OKC","3","9.6","1","0","2","0","0","1","0","1","2","0.5","1","1","2","1","0","0","1","3","2","1",
"404","Joe Ingles","MIN","5","26.1","0","0","2","0","0","2","0","0","0","0","2","0","2","8","0","0","1","5","8","2",
"405","Charles Bassey","SAS","3","7.8","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","2","1",
"406","Ariel Hukporti","NYK","4","28.8","0","0","1","0","0","0","0","0","0","0","0","7","7","0","0","4","3","4","1","0",
"407","Mac McClung","ORL","1","4.9","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","0","3","3",
"408","Cam Reddish","LAL","2","23.2","0","0","1","0","0","0","0","0","0","0","0","6","6","0","1","0","1","2","4","2",
"409","Sidy Cissoko","SAS","3","4.5","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","1","3","1",
"410","Drew Peterson","BOS","2","5.7","0","0","1","0","0","1","0","0","0","0","0","1","1","0","1","2","1","0","-1","0",
"411","Kobe Brown","LAC","1","4.2","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","2","2",
"412","Spencer Jones","DEN","1","2.2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","1",
"413","Jaesean Tate","HOU","1","2.2","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","2","2",
"414","Jevon Carter","CHI","1","4.4","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","1",
"415","Justin Champagnie","WAS","1","3.9","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","3","3","3",
"416","Lester Quinones","PHI","1","2.7","0","0","1","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","2","2",
"417","Colin Castleton","MEM","2","2.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",
"418","Tyrese Martin","BRK","2","2.7","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0",
"419","Vlatko Cancar","DEN","1","1.6","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1",
"420","Jeff Green","HOU","1","3.1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1",
"421","Torrey Craig","CHI","1","3.4","0","0","1","0","0","1","0","0","0","0","0","2","2","0","0","0","0","1","2","2",
"422","Kessler Edwards","DAL","1","1.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"423","Olivier-Maxence Prosper","DAL","4","12.8","0","0","2","0","0","1","0","0","0","0","2","0","2","0","0","0","0","2","2","0",
"424","Colby Jones","SAC","3","6.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","-2","-1",
"425","Jeff Dowtin","PHI","2","4.1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"426","Jalen Pickett","DEN","2","3.8","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"427","Richaun Holmes","WAS","1","3.3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"428","Trevelin Queen","ORL","1","3.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-2","-2",
"429","Jazian Gortman","DAL","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-2","-2",
"430","Dariq Whitehead","BRK","1","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2","0","-3","-3",
"431","Isaac Jones","SAC","2","4.9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0",
"432","Terrence Shannon Jr","MIN","2","8.8","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","-2","-1",
"433","Daniss Jenkins","DET","2","5","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0",
"434","Johnny Furphy","IND","1","5","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"435","Alex Ducas","OKC","4","7.3","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"436","Yuki Kawamura","MEM","5","11.3","0","0","4","0","0","4","0","0","0","0","0","0","0","1","0","0","1","0","-1","0",
"437","Josh Richardson","MIA","2","37.2","0","0","8","0","0","5","0","0","0","0","2","1","3","2","2","0","3","7","-1","0",
