"Number","Player","Team","GP","MIN","PTS","FGM","FGA","FG","3PM","3PA","3P","FTM","FTA","FT","ORB","DRB","REB","AST","STL","BLK","TOV","PF","Score","AVG","SearchKey"
"252","Max Christie","LAL","5","91.2","18","5","18","0.278","3","12","0.25","5","6","0.833","2","6","8","6","3","2","3","11","26","5",
"253","Vit Krejci","ATL","4","56.2","18","6","14","0.429","2","7","0.286","4","7","0.571","1","4","5","4","3","1","4","9","19","5",
"254","Isaiah Stewart II","DET","5","101","17","5","11","0.455","0","1","0","7","7","1","16","22","38","11","4","5","10","18","46","9",
"255","Mason Plumlee","PHX","4","69.4","17","6","7","0.857","0","0","0","5","8","0.625","4","16","20","4","1","2","1","11","39","10",
"256","Larry Nance Jr","ATL","2","30","17","7","10","0.7","3","5","0.6","0","0","0","3","0","3","4","2","1","1","4","22","11",
"257","Rayan Rupert","POR","4","39.3","17","7","10","0.7","1","2","0.5","2","3","0.667","3","4","7","2","4","0","2","4","22","6",
"258","AJ Green","MIL","4","30.9","17","5","10","0.5","5","10","0.5","2","2","1","0","2","2","3","1","0","1","1","20","5",
"259","Jett Howard","ORL","5","37.6","17","6","15","0.4","5","13","0.385","0","0","0","1","6","7","1","0","1","0","4","25","5",
"260","Gabe Vincent","LAL","5","85.9","17","7","21","0.333","3","12","0.25","0","0","0","1","3","4","2","4","0","3","6","17","3",
"261","Luke Kornet","BOS","5","80.3","16","5","12","0.417","0","0","0","6","6","1","13","8","21","8","2","3","2","8","41","8",
"262","Ajay Mitchell","OKC","4","58.9","16","7","15","0.467","1","2","0.5","1","2","0.5","0","9","9","7","4","1","2","3","28","7",
"263","Jared Butler","WAS","3","29.7","16","6","12","0.5","1","2","0.5","3","4","0.75","0","3","3","7","2","1","1","2","24","8",
"264","Peyton Watson","DEN","4","61.8","16","5","20","0.25","1","7","0.143","5","6","0.833","3","7","10","3","1","3","1","7","27","7",
"265","John Konchar","MEM","3","56.6","15","4","6","0.667","4","6","0.667","3","4","0.75","3","11","14","3","2","2","2","4","28","9",
"266","Cody Williams","UTA","4","90.3","15","5","18","0.278","3","12","0.25","2","2","1","2","9","11","4","3","1","4","6","22","6",
"267","Sam Hauser","BOS","2","38","15","6","16","0.375","3","11","0.273","0","0","0","1","6","7","2","1","1","1","2","22","11",
"268","Quentin Grimes","DAL","4","45.7","15","5","15","0.333","3","8","0.375","2","2","1","1","5","6","1","1","1","2","6","18","4",
"269","Neemias Queta","BOS","4","33.4","14","6","10","0.6","0","1","0","2","2","1","8","8","16","1","0","1","1","5","29","7",
"270","Lonzo Ball","CHI","3","47.2","14","5","14","0.357","4","12","0.333","0","0","0","0","8","8","11","0","1","3","4","27","9",
"271","Taylor Hendricks","UTA","3","74.5","14","4","18","0.222","3","12","0.25","3","4","0.75","5","10","15","2","5","4","2","8","27","9",
"272","Dejounte Murray","NOP","1","30","14","4","15","0.267","0","3","0","6","7","0.857","0","8","8","10","1","0","1","0","30","30",
"273","Josh Green","CHA","2","40.1","14","5","11","0.455","4","7","0.571","0","0","0","2","3","5","5","1","3","0","7","24","12",
"274","Bruno Fernando","TOR","4","38.4","14","5","12","0.417","0","0","0","4","4","1","9","8","17","2","1","3","6","10","21","5",
"275","Terance Mann","LAC","4","85.6","14","7","20","0.35","0","6","0","0","3","0","5","8","13","8","2","0","3","15","29","7",
"276","Spencer Dinwiddie","DAL","3","44.2","14","4","10","0.4","4","9","0.444","2","4","0.5","0","3","3","3","1","1","2","5","16","5",
"277","Nicolas Batum","LAC","4","73.6","13","4","10","0.4","2","8","0.25","3","4","0.75","3","9","12","11","3","1","2","10","32","8",
"278","Kai Jones","LAC","4","38","13","5","8","0.625","0","0","0","3","5","0.6","6","6","12","2","0","3","0","5","27","7",
"279","Trey Lyles","SAC","4","64.8","13","4","16","0.25","3","13","0.231","2","2","1","1","11","12","3","4","4","1","7","26","6",
